ID,Nombre_Lana,Nombre_Archivo,Ruta_Foto,Color_Hex,Color_RGB
1,madeja algodon 0941,madeja algodon 0941.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-0941.jpg,#649FA2,"(100, 159, 162)"
2,madeja algodon 0970,madeja algodon 0970.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-0970.jpg,#17171D,"(23, 23, 29)"
3,madeja algodon 131,madeja algodon 131.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-131.jpg,#D5AC9E,"(213, 172, 158)"
4,madeja algodon 133,madeja algodon 133.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-133.jpg,#E7BDC6,"(231, 189, 198)"
5,madeja algodon 134,madeja algodon 134.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-134.jpg,#CD92AA,"(205, 146, 170)"
6,madeja algodon 136,madeja algodon 136.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-136.jpg,#C95479,"(201, 84, 121)"
7,madeja algodon 168,madeja algodon 168.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-168.jpg,#BB688C,"(187, 104, 140)"
8,madeja algodon 171,madeja algodon 171.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-171.jpg,#BA325C,"(186, 50, 92)"
9,madeja algodon 183,madeja algodon 183.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-183.jpg,#B8528F,"(184, 82, 143)"
10,madeja algodon 184,madeja algodon 184.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-184.jpg,#B83076,"(184, 48, 118)"
11,madeja algodon 199,madeja algodon 199.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-199.jpg,#BD3F49,"(189, 63, 73)"
12,madeja algodon 200,madeja algodon 200.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-200.jpg,#A11A1D,"(161, 26, 29)"
13,madeja algodon 202,madeja algodon 202.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-202.jpg,#A41C2A,"(164, 28, 42)"
14,madeja algodon 206,madeja algodon 206.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-206.jpg,#8F162C,"(143, 22, 44)"
15,madeja algodon 208,madeja algodon 208.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-208.jpg,#882231,"(136, 34, 49)"
16,madeja algodon 209,madeja algodon 209.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-209.jpg,#2D0F17,"(45, 15, 23)"
17,madeja algodon 210,madeja algodon 210.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-210.jpg,#44172B,"(68, 23, 43)"
18,madeja algodon 241,madeja algodon 241.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-241.jpg,#8B245E,"(139, 36, 94)"
19,madeja algodon 250,madeja algodon 250.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-250.jpg,#9E6E1F,"(158, 110, 31)"
20,madeja algodon 254,madeja algodon 254.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-254.jpg,#9D8F99,"(157, 143, 153)"
21,madeja algodon 256,madeja algodon 256.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-256.jpg,#3A56A1,"(58, 86, 161)"
22,madeja algodon 258,madeja algodon 258.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-258.jpg,#246B60,"(36, 107, 96)"
23,madeja algodon 262,madeja algodon 262.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-262.jpg,#50765A,"(80, 118, 90)"
24,madeja algodon 264,madeja algodon 264.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-264.jpg,#A7D3D4,"(167, 211, 212)"
25,madeja algodon 266,madeja algodon 266.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-266.jpg,#63636A,"(99, 99, 106)"
26,madeja algodon 268,madeja algodon 268.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-268.jpg,#453572,"(69, 53, 114)"
27,madeja algodon 270,madeja algodon 270.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-270.jpg,#762044,"(118, 32, 68)"
28,madeja algodon 272,madeja algodon 272.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-272.jpg,#2366A7,"(35, 102, 167)"
29,madeja algodon 274,madeja algodon 274.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-274.jpg,#B3B771,"(179, 183, 113)"
30,madeja algodon 276,madeja algodon 276.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-276.jpg,#1E2341,"(30, 35, 65)"
31,madeja algodon 375,madeja algodon 375.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-375.jpg,#9C799F,"(156, 121, 159)"
32,madeja algodon 376,madeja algodon 376.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-376.jpg,#724A81,"(114, 74, 129)"
33,madeja algodon 378,madeja algodon 378.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-378.jpg,#4A1E5D,"(74, 30, 93)"
34,madeja algodon 470,madeja algodon 470.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-470.jpg,#CDCEC6,"(205, 206, 198)"
35,madeja algodon 471,madeja algodon 471.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-471.jpg,#7D8F91,"(125, 143, 145)"
36,madeja algodon 475,madeja algodon 475.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-475.jpg,#294480,"(41, 68, 128)"
37,madeja algodon 481,madeja algodon 481.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-481.jpg,#3B829C,"(59, 130, 156)"
38,madeja algodon 482,madeja algodon 482.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-482.jpg,#4CABCB,"(76, 171, 203)"
39,madeja algodon 484,madeja algodon 484.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-484.jpg,#1884AF,"(24, 132, 175)"
40,madeja algodon 489,madeja algodon 489.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-489.jpg,#ADBAAE,"(173, 186, 174)"
41,madeja algodon 492,madeja algodon 492.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-492.jpg,#5478AE,"(84, 120, 174)"
42,madeja algodon 493,madeja algodon 493.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-493.jpg,#2D428B,"(45, 66, 139)"
43,madeja algodon 494,madeja algodon 494.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-494.jpg,#1F2775,"(31, 39, 117)"
44,madeja algodon 497,madeja algodon 497.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-497.jpg,#171426,"(23, 20, 38)"
45,madeja algodon 520,madeja algodon 520.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-520.jpg,#607B45,"(96, 123, 69)"
46,madeja algodon 521,madeja algodon 521.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-521.jpg,#767F19,"(118, 127, 25)"
47,madeja algodon 522,madeja algodon 522.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-522.jpg,#6A9B19,"(106, 155, 25)"
48,madeja algodon 523,madeja algodon 523.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-523.jpg,#5C9798,"(92, 151, 152)"
49,madeja algodon 524,madeja algodon 524.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-524.jpg,#439670,"(67, 150, 112)"
50,madeja algodon 525,madeja algodon 525.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-525.jpg,#2B6551,"(43, 101, 81)"
51,madeja algodon 534,madeja algodon 534.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-534.jpg,#0B6B65,"(11, 107, 101)"
52,madeja algodon 548,madeja algodon 548.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-548.jpg,#418334,"(65, 131, 52)"
53,madeja algodon 558,madeja algodon 558.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-558.jpg,#0F3028,"(15, 48, 40)"
54,madeja algodon 561,madeja algodon 561.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-561.jpg,#447913,"(68, 121, 19)"
55,madeja algodon 563,madeja algodon 563.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-563.jpg,#0F4818,"(15, 72, 24)"
56,madeja algodon 564,madeja algodon 564.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-564.jpg,#ABAE06,"(171, 174, 6)"
57,madeja algodon 568,madeja algodon 568.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-568.jpg,#829A0C,"(130, 154, 12)"
58,madeja algodon 573,madeja algodon 573.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-573.jpg,#90973C,"(144, 151, 60)"
59,madeja algodon 574,madeja algodon 574.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-574.jpg,#48602D,"(72, 96, 45)"
60,madeja algodon 594,madeja algodon 594.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-594.jpg,#6B5226,"(107, 82, 38)"
61,madeja algodon 660,madeja algodon 660.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-660.jpg,#DFD983,"(223, 217, 131)"
62,madeja algodon 661,madeja algodon 661.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-661.jpg,#E1D447,"(225, 212, 71)"
63,madeja algodon 663,madeja algodon 663.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-663.jpg,#D9A213,"(217, 162, 19)"
64,madeja algodon 672,madeja algodon 672.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-672.jpg,#C27826,"(194, 120, 38)"
65,madeja algodon 673,madeja algodon 673.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-673.jpg,#B86525,"(184, 101, 37)"
66,madeja algodon 674,madeja algodon 674.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-674.jpg,#D7B03C,"(215, 176, 60)"
67,madeja algodon 676,madeja algodon 676.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-676.jpg,#DD9A0E,"(221, 154, 14)"
68,madeja algodon 677,madeja algodon 677.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-677.jpg,#94581D,"(148, 88, 29)"
69,madeja algodon 682,madeja algodon 682.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-682.jpg,#BF9D66,"(191, 157, 102)"
70,madeja algodon 683,madeja algodon 683.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-683.jpg,#E0982C,"(224, 152, 44)"
71,madeja algodon 684,madeja algodon 684.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-684.jpg,#D58736,"(213, 135, 54)"
72,madeja algodon 686,madeja algodon 686.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-686.jpg,#D0621E,"(208, 98, 30)"
73,madeja algodon 694,madeja algodon 694.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-694.jpg,#CB4C20,"(203, 76, 32)"
74,madeja algodon 697,madeja algodon 697.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-697.jpg,#B1251E,"(177, 37, 30)"
75,madeja algodon 700,madeja algodon 700.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-700.jpg,#75746F,"(117, 116, 111)"
76,madeja algodon 717,madeja algodon 717.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-717.jpg,#774220,"(119, 66, 32)"
77,madeja algodon 718,madeja algodon 718.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-718.jpg,#543C28,"(84, 60, 40)"
78,madeja algodon 720,madeja algodon 720.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-720.jpg,#713A1F,"(113, 58, 31)"
79,madeja algodon 723,madeja algodon 723.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-723.jpg,#452318,"(69, 35, 24)"
80,madeja algodon 726,madeja algodon 726.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-726.jpg,#39241D,"(57, 36, 29)"
81,madeja algodon 727,madeja algodon 727.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-727.jpg,#43302A,"(67, 48, 42)"
82,madeja algodon 755,madeja algodon 755.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-755.jpg,#C7BCAD,"(199, 188, 173)"
83,madeja algodon 780,madeja algodon 780.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-780.jpg,#261E20,"(38, 30, 32)"
84,madeja algodon 781,madeja algodon 781.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-781.jpg,#7F372D,"(127, 55, 45)"
85,madeja algodon 783,madeja algodon 783.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-783.jpg,#AB7364,"(171, 115, 100)"
86,madeja algodon 784,madeja algodon 784.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-784.jpg,#C97363,"(201, 115, 99)"
87,madeja algodon 785,madeja algodon 785.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-785.jpg,#A5977C,"(165, 151, 124)"
88,madeja algodon 800,madeja algodon 800.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-800.jpg,#9F1623,"(159, 22, 35)"
89,madeja algodon 809,madeja algodon 809.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-809.jpg,#4E131A,"(78, 19, 26)"
90,madeja algodon 823,madeja algodon 823.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-823.jpg,#8B5333,"(139, 83, 51)"
91,madeja algodon 836,madeja algodon 836.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-836.jpg,#D48DAA,"(212, 141, 170)"
92,madeja algodon 854,madeja algodon 854.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-854.jpg,#0E5012,"(14, 80, 18)"
93,madeja algodon 860,madeja algodon 860.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-860.jpg,#1A602E,"(26, 96, 46)"
94,madeja algodon 871,madeja algodon 871.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-871.jpg,#9B1C4E,"(155, 28, 78)"
95,madeja algodon 875,madeja algodon 875.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-875.jpg,#7E1B4F,"(126, 27, 79)"
96,madeja algodon 877,madeja algodon 877.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-877.jpg,#41296C,"(65, 41, 108)"
97,madeja algodon 879,madeja algodon 879.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-879.jpg,#605817,"(96, 88, 23)"
98,madeja algodon 880,madeja algodon 880.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-880.jpg,#C89A0E,"(200, 154, 14)"
99,madeja algodon 891,madeja algodon 891.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-891.jpg,#6EB1C6,"(110, 177, 198)"
100,madeja algodon 893,madeja algodon 893.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-893.jpg,#5070B3,"(80, 112, 179)"
101,madeja algodon 896,madeja algodon 896.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-896.jpg,#78210C,"(120, 33, 12)"
102,madeja algodon 898,madeja algodon 898.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-898.jpg,#AC4514,"(172, 69, 20)"
103,madeja algodon BLANCO,madeja algodon BLANCO.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-BLANCO.jpg,#E1E3DF,"(225, 227, 223)"
104,madeja algodon NEGRO,madeja algodon NEGRO.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/madeja-algodon-NEGRO.jpg,#0B0B10,"(11, 11, 16)"
